,subject_id,task,condition,target,response,PROLIFIC_PID
207,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,1,5fd8a13aaf5bd723a0e0e3fa
208,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,1,5fd8a13aaf5bd723a0e0e3fa
209,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,4,5fd8a13aaf5bd723a0e0e3fa
210,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,3,5fd8a13aaf5bd723a0e0e3fa
211,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,2,5fd8a13aaf5bd723a0e0e3fa
212,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,2,5fd8a13aaf5bd723a0e0e3fa
213,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,1,5fd8a13aaf5bd723a0e0e3fa
214,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,3,5fd8a13aaf5bd723a0e0e3fa
215,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,3,5fd8a13aaf5bd723a0e0e3fa
216,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,2,5fd8a13aaf5bd723a0e0e3fa
217,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,2,5fd8a13aaf5bd723a0e0e3fa
218,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,4,5fd8a13aaf5bd723a0e0e3fa
219,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,3,5fd8a13aaf5bd723a0e0e3fa
220,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,2,5fd8a13aaf5bd723a0e0e3fa
221,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,3,5fd8a13aaf5bd723a0e0e3fa
222,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,2,5fd8a13aaf5bd723a0e0e3fa
223,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,1,5fd8a13aaf5bd723a0e0e3fa
